"V400","V401","V402"
292.39,292.97,291.85
295.99,295.01,292.26
300.37,296.97,292.69
301.11,297.64,293.14
296.59,296.27,293.22
290.15,293.65,293.21
289.04,292.58,293.18
293.44,295.03,293.58
291.01,293.75,293.25
290.59,293.05,292.97
294.21,294.51,293.28
297.69,295.65,293.63
300.09,297.3,294.02
301.19,297.37,294.03
296.41,296.01,294.37
296.08,295.16,294.3
304.3,298.87,295.12
302.75,299.19,295.59
301.46,299.52,295.78
296.75,297.18,295.77
294.53,296.39,295.55
297.45,297.1,295.64
300.47,298.54,295.55
302.12,298.59,295.49
303.31,299.32,295.71
304.18,299.66,295.89
304.64,300.53,296.53
304.74,300.98,296.82
301.57,300.38,297.01
304.25,299.88,296.82
303.65,301.37,297.3
300.64,299.13,297.1
301.04,299.22,296.97
302.96,300,297.21
304.8,300.63,297.35
303.79,301.13,297.72
305.33,300.04,297.58
304.71,301.19,298.04
301.54,299.49,297.88
298.91,299.19,297.88
301.42,299.94,298.12
303.25,301.87,298.58
295.56,298.39,298.18
294.93,298.12,297.91
298.11,299.26,297.74
302.2,300.29,297.44
306.12,302.25,297.77
306.18,301.71,297.72
307.55,302.81,298.05
308.1,302.92,298.35
308.48,303.14,298.6
307.79,304.2,299.17
307.14,303.83,299.31
300.13,302,299.27
300.61,299.97,298.8
304.89,301.99,298.7
308.33,303.4,298.84
302.56,301.76,298.93
301.69,300.59,298.51
306.51,302.74,298.74
300.88,299.95,298.42
300.38,300.97,298.51
298.86,301.12,298.42
296.57,299.17,298.02
296.33,298.34,297.42
296.06,298.37,297.24
294.99,297.63,297.14
288.04,295.72,296.75
292.37,295.74,296.59
291.99,295.81,296.32
292.82,295.28,295.66
296.83,295.94,295.22
294.88,296.09,295.22
296.25,296.48,295.31
299.78,298,295.63
293.62,296.81,295.66
288.95,293.71,295.3
291.39,293.78,295.24
296.26,295.79,295.16
297.26,296.19,295.26
297.16,296.31,295.28
295.72,295.57,295.25
296.44,295.38,295.29
301.46,297.68,295.68
297.49,298.03,295.98
294.09,295.74,295.68
289.32,294.07,295.42
294.25,295,295.55
300.33,298.13,295.94
296.1,296.71,295.77
287.98,294.44,295.48
280.49,290.69,294.76
281.62,290.23,294.47
285.46,291.83,294.31
289,293.02,294.2
292.59,294.63,294.38
297.81,295.95,294.51
295.06,295.3,294.41
293.32,294.09,294.13
294.25,294.05,294.24
296.99,294.82,294.38
296.22,295.37,294.46
289.01,292.92,294.13
285.87,291.79,293.89
289.52,292.06,293.93
292.38,294.33,294.17
291.25,293.48,293.97
294.08,293.14,293.78
293.94,294.69,294.11
285.8,291.51,293.65
290.69,293.37,293.9
288.53,293.29,294.11
286.65,292.04,293.59
292.27,294.87,294.23
290.36,293.57,293.84
290.07,293.41,293.74
291.67,293.32,293.6
293.42,294.38,293.87
283.93,290.64,293.1
284.31,291.47,293.39
290.85,293.14,293.62
294.18,294.07,293.54
295.64,294.55,293.57
292.73,294.18,293.58
282.15,290.31,292.89
282.11,289.52,292.76
285.81,290.54,292.74
289.51,291.75,292.68
292.14,293.81,293.1
290.25,293.13,293.15
289.94,292.01,292.74
289.32,292.61,292.87
290.44,292.73,292.96
289.89,293.35,293.31
279.4,288.22,292.15
281.1,289.27,292.4
277.51,288.07,291.92
279.94,288.62,291.72
278.16,287.41,291.22
280.04,287.79,291.08
280.83,288.65,291.18
286.57,291.21,291.52
286.9,292.08,291.7
285.95,292.1,291.86
282.75,290.71,291.73
278.4,287.77,291.05
278.66,288.45,291.33
281.09,288.25,291
284.12,289.56,291.09
281.61,289.1,291.25
274.7,285.45,290.25
282.65,288.57,290.82
279.65,288.15,290.97
274.37,284.68,289.87
273.01,283.63,289.5
272.68,283.31,289.28
276.62,285.17,289.37
284.71,288.46,289.76
284.06,289.17,290.09
273.71,284.08,288.99
268.1,280.67,287.96
268.27,280.58,287.75
269.8,281.33,287.73
271.26,282.17,287.7
277.24,285.24,288.17
272.43,282.55,287.35
270.68,281.59,287.06
270.15,282.24,287.24
268.31,281.17,286.89
271.83,282.09,286.89
276.51,285.84,287.85
273.16,282.08,286.78
273.55,281.75,286.58
273.47,281.92,286.54
274.58,282.7,286.71
273.08,281.92,286.47
269.71,280.52,286.06
265.64,279.65,285.81
267.02,280.18,285.87
267.49,280.32,285.78
272.2,281.61,285.78
275.45,284.31,286.46
274.68,282.49,285.99
271.74,280.92,285.51
267.87,279.05,285.14
269.22,279.21,284.99
272.04,280.76,285.33
271.36,280.36,285.13
272.44,281,285.16
274.15,282.17,285.52
273.77,281.7,285.32
270.69,279.92,284.76
273.87,281.48,285.14
274.57,281.56,285.06
277.18,283.32,285.53
283.95,285.61,285.8
287.1,287.32,286.2
272.14,280.68,284.85
276.45,281.96,284.92
279.74,285.04,285.91
264.22,277.81,284.25
259.7,275.24,283.57
261.72,276.63,283.77
270.56,279.81,284.47
272.8,280.56,284.43
271.22,279.76,284.06
273.9,280.92,284.36
274.04,281.8,284.64
272.91,280.85,284.21
273.86,281.97,284.44
279.77,284.57,284.92
274.14,282.78,284.83
264.56,277.42,283.46
270.89,280.35,284.09
264.25,277.92,283.76
266.98,277.66,283.38
271.02,279.59,283.62
272.79,280.27,283.77
274.14,281.15,283.96
271.6,280.51,283.92
266.17,277.18,282.89
273.33,280.71,283.75
270.34,278.72,283.15
278.1,283.18,284.08
268.43,280.28,283.89
254.53,272.84,282.03
258.99,274.35,282.18
276.52,282.94,284.08
266.08,278.72,283.44
268.55,277.85,282.67
273.48,279.98,283.25
275.32,281.74,283.61
268.82,278.4,282.78
264.94,277.41,282.65
257.64,274.38,281.77
258.04,274.6,281.76
267.58,277.25,282.01
273.33,280.03,282.77
279.37,283.43,283.4
284.58,285.26,283.7
274.46,281.53,283.13
269.62,277.52,281.91
278.52,281.53,282.75
281.97,284.98,283.67
274.38,282.25,283.44
277.11,282.62,283.45
278.8,282.23,283.15
289.37,286.14,283.8
285.27,286.33,283.93
274.9,284.11,284.03
261.51,278.43,283.43
259.23,274.5,281.8
268.69,278.25,282.64
260.52,275.77,282.13
256.51,273.57,281.39
258.48,273.55,281.1
261.25,274.92,281.28
267.66,277.48,281.75
274.52,280.43,282.43
276.97,281.48,282.49
276.12,280.92,282.44
278.46,282.11,282.62
277.92,280.99,282.3
284.78,284.53,283.13
286.77,285.45,283.46
278.38,282.19,282.83
274.04,280,282.27
276.3,282.1,283.04
275.72,280.56,282.45
